,n_cells
KCNN2,29017
CNOT4,6242823
PSEN1,4487426
CPOX,965608
CLDND1,2923790
MOK,69917
HSP90AA1,6576951
RBL1,2699671
DLGAP4,2640278
IGSF9B,889523
CFHR2,511
CROCCP3,288865
NDC80,443711
AP4E1,2454064
RSBN1,2749127
MAGI3,1287304
CXCL2,340812
AFP,782
COL4A4,195365
TCF7,5936918
OSTM1,2564082
CDH7,16515
IMPG2,780319
PCNP,3438271
EXD2,491059
ARG2,120338
MEF2C,2671534
PTPRC,11082598
CACNA1S,10742
PKP1,1375
UBA5,1259873
STK17B,7487934
CDC14B,557923
ZNF510,1155105
LRP2,22852
ZNF506,3746650
JMJD4,238288
DUSP12,598504
AACS,631049
DELE1,1661509
SLC13A1,3940
CADPS2,45496
PCDHB4,335
PCDHA6,8508
PCDHGA2,273532
HSPB11,1918400
PHLPP1,2304891
ATP8B1,935633
IL12RB2,1318617
SMARCD3,419098
WDR70,6761654
FYB1,9437591
MPP4,25039
STRADB,634392
BZW1,2684648
PGR,5728
C1QTNF3,381388
ME2,4373188
C5orf22,1436551
CCNT2,4443785
FAM135A,2899871
COL19A1,791952
EPB41L3,3056622
COBLL1,1039030
DLG3,702287
KCNK2,13439
SERTAD4,380
TRAF5,3461434
MRPL22,968313
GEMIN5,1116609
OPRK1,607
NFE2L1,2529591
SEMA5B,11384
GSK3B,6795503
ITGB5,199135
ERC1,7348528
XPO1,6030590
LINC01587,369
RNF13,5832130
TRPM3,148691
PALB2,982098
DOP1A,4021286
LYRM2,1015855
BCKDHB,3015282
KAT6A,8901300
TUT7,5444449
ULK2,1233480
GRHL2,20625
TNPO1,4824753
PLOD1,562178
P2RX5,727815
ITGAE,1143463
DIS3,2380365
PIBF1,5848501
TDRD3,4161867
ENSG00000083622,2519
NUFIP1,700628
PDS5B,5779176
OXCT1,3627244
RRAGB,1079636
EPYC,1847
CYLD,6961389
SLC27A5,251621
ZNF324,495786
ZNF671,447616
ZNF416,156442
ZNF586,2609969
ZNF446,140204
ZNF264,1848391
RPS5,2876874
FAT1,10335
YTHDC1,5209211
CHMP2B,1342004
SMAP2,7033041
PPIE,1064281
ZMPSTE24,1541366
STARD7,2640732
NOA1,758018
REST,4089001
HAL,174582
SSH1,2773970
GSTP1,985163
APLP2,3298338
FAM234B,451920
SLCO1A2,12606
WBP11,2734085
EIF3I,1075605
NKAIN1,33721
COL16A1,2749
TXLNA,1802425
APOB,4549
NCOA1,7852244
AGBL5,382226
EFR3B,49041
KIF3C,246894
RAB10,6407430
GCKR,7904
HADHA,3783956
MAPRE3,250106
CAD,1003167
CD59,1076866
CD82,1266072
BCORL1,738228
ATRX,8244710
AK6,538945
FCN1,2104655
MYNN,1353356
MECOM,219873
SCAMP1,2639122
PREP,3471261
HACE1,1642650
SEH1L,1376251
WDR47,930869
WDFY1,5206446
OVGP1,120361
SLC25A24,3403636
MAP3K4,3692066
PILRA,2761995
IGSF9,2572
ABCB1,1773838
ZNF213,179735
AKR1B1,622836
CPNE3,1822928
RRN3,1241546
CTTN,43062
WNT11,10872
MTIF2,1402592
DDHD2,1414472
TTC39A,56619
EPS15,6721515
ORC1,107918
MGST2,573879
CHERP,1130423
ATG16L1,2947800
USP40,1671697
POMGNT1,534660
RAD54L,67549
MAST2,1737924
DNAJA1,4408155
B4GALT1,4090883
CHMP5,2565151
NFX1,4530844
AQP6,450
DIMT1,1208125
IPO11,2835966
FOLH1,5476
EIF2AK1,2400760
NME8,977277
EPDR1,89627
SNX10,3312772
SEPHS1,864971
MRPL28,264553
ITPKC,488736
CEACAM6,6706
FAT2,28440
RBM22,1685987
TMED2,1840742
ERO1B,2643449
ZFAND6,5121569
HSD17B2,8053
TXLNG,1818208
PPEF1,58399
LAT2,1900746
HUWE1,6889661
ZW10,979509
ALG9,1327554
MYBPC2,32622
NOX4,11633
ACOX3,1440780
MTMR2,1742094
PPP1R15A,1817529
HSD17B14,124676
TRIP6,254874
ACHE,35790
FTL,5150424
SRRT,1985083
BAX,924083
NLK,4555184
PIGS,996025
ADAMTS2,87216
TMPRSS11E,4371
ATXN7L3,1384758
PGS1,2612679
PSMC5,1385099
UIMC1,4026092
CETP,75950
MMP2,45312
MT3,1030
LPCAT2,2214223
GNAO1,665251
OGFOD1,1324636
SH3BP2,2465762
NOP14,1924672
ADD1,5355003
L2HGDH,761513
TXNDC16,1786980
RTRAF,1445743
NID2,85052
GMCL1,1965187
SF3B2,3604580
KLHL42,1103325
GNAS,5945912
DNM1L,3063915
PTHLH,993
PHACTR3,22221
ERGIC2,3106281
TFAP2C,1018
AURKA,87386
CASS4,1205730
PIR,228356
AAMDC,1276808
RFX2,1075074
METTL2A,634429
SULT2B1,113101
ALG6,1766947
CNOT3,1366375
GP6,135389
PTPN4,5387965
DDX18,3154986
KHSRP,1701578
GNA11,117716
ASAP3,59537
EDEM2,1952842
DNMT3B,41547
REM1,3076
TPX2,56624
FER1L4,19862
PDRG1,316411
EPB41L1,78984
SLC15A1,7338
DOCK9,6500902
ANKRD10,4512414
TGDS,800050
DOCK3,1144567
C3orf18,191479
COQ9,650442
TMEM40,8807
KIF9,143892
ARHGAP28,13892
CRLS1,1480428
PPP1R13B,1559209
ATRN,4013831
SMOX,254861
SIGLEC1,2517919
FKBP1A,2268807
NSFL1C,1936235
SLC4A11,12032
DNAAF9,3491362
ZNF343,540705
EBF4,222963
CPXM1,6171
MAVS,2990904
LZTS3,231727
F11,22709
XRN2,5613751
KIZ,2489338
DYNLL1,980279
TESC,172990
SNX5,2315969
RPL6,1991345
SIRPG,760084
MAPKAPK5,2334259
P2RX7,2057249
ESF1,2374374
RBBP9,349707
ANAPC5,4053987
SLC23A2,4705368
SLC8B1,2826410
TMEM230,1811418
DZANK1,469726
KDM2B,4250179
CFAP61,51751
TASP1,3218010
OAS1,4927325
GCN1,2743882
RPLP0,3729145
PXN,2796044
SIRT4,100641
RPH3A,45072
KIF16B,3073900
TRMT6,724765
CHGB,3732
PEBP1,1121450
TBX5,3267
BRAP,1898883
ERP29,1925685
NOS1,72691
FUS,6748159
IGBP1,2299214
FXYD5,2654478
ZNF302,1904826
GRAMD1A,2843336
FXYD3,1366
HEPH,11448
CDIP1,749295
CMTM1,815299
KCNH4,42585
GANAB,2767243
GMIP,2405253
RBM41,2747612
BIRC5,6431
LAG3,580132
MLF2,670845
OTUB2,39377
DDX24,4048972
ZBTB25,3072147
NECAP1,1471204
ARHGAP4,3097519
ANKRD24,276727
DHX32,1272334
RCOR1,3941789
GPATCH2L,4618788
LTBP4,720202
BLVRB,972531
SLC9A1,1198261
SPTLC1,3237693
PAPOLA,6373690
CCNK,3274614
PCBP4,307689
RGS1,937850
YPEL3,1112737
MRPS33,509723
NDUFB2,1348103
NUDC,1860455
MAEA,2267250
ICAM1,2050194
STRN4,1482426
IRAK3,2415683
LYZ,3747951
SI,4965
MUL1,392126
TFAP4,556212
PDCD7,1477657
SPG21,2210620
FETUB,436
DNAJB11,1439698
P3H2,73613
THPO,765
CHRD,1830
FLT3LG,1547157
RAB11FIP3,2269548
GNPTG,1431557
ZNF268,963869
GOLGA3,2691850
PABPC4,2597269
CD209,357437
CERS4,1864638
MCOLN1,770113
USP48,4930377
EFNB1,87695
PDPR,2496880
AARS1,1411762
GLG1,7629899
KIF4A,49999
TNRC6A,6851605
PLEKHG2,1022256
DLL3,4236
NAT14,35358
PITPNM2,1448714
EXOC1,4052438
RBM27,4424110
POU4F3,1103
OSBPL8,6723085
DTX2,1140979
NLRC4,676260
PUS7,991201
LAMB4,14637
NRCAM,430328
LAMB1,68978
SLC26A4,25932
SLC26A3,11850
DLD,2171443
WDR7,6139840
TXNL1,2150489
IL5RA,55208
ABCC6,25246
CMTM6,3330768
ITGA6,3259881
RAPGEF4,266565
MAP3K20,2102640
SMPX,2603
FH,676695
SEL1L3,3042405
TF,13462
CDV3,4118704
MYO15A,96004
ALKBH5,1745264
APOH,18444
NLRP1,6341753
PITPNM3,85135
SPAG7,1095533
ORC6,104096
ZFHX4,16811
SLC17A6,2360
CPA1,441
ZC3HC1,1071853
ESR1,2150338
RGS17,76948
ANGPT2,234554
TMEM101,344733
CD200,403243
CCDC80,16231
CMA1,219
PSME1,3447300
PPP2R3C,3137764
HAUS4,655339
JPH4,10425
MYH7,10766
CEBPE,19066
SLC7A8,441234
OSGEP,1229306
SLC22A17,55240
RNF31,1787791
SCFD1,4989552
G2E3,3004684
HECTD1,5784919
HNRNPC,8153150
RPGRIP1,58447
SUPT16H,3328307
TOX4,2231537
GEMIN2,441864
TGM1,264506
TINF2,1439007
DAZL,23104
TBL1Y,10599
SEMA6A,125825
TRPM7,6382297
TYRO3,9830
WDR76,580023
CAPN3,1918588
SNAP23,2588995
TBX15,12784
PHGDH,94705
COL9A3,30039
EZR,5730348
MYL6,3647678
AGO1,1882714
TEKT2,1999
CLSPN,193237
RFFL,4351593
UNC13D,1968352
MFSD11,2202550
DPYSL2,2353308
TGFB2,60907
GPATCH2,2942637
NUP50,2829624
CDC45,37830
COMT,1740864
ADA2,4574980
VNN3P,46292
ECHDC1,3185106
LRRFIP2,3824141
SEC22C,1751154
XYLB,466940
HDAC6,1479093
OR1I1,2091
GABRP,7589
CDC6,56714
UPRT,1314611
CDC23,660559
AAAS,538038
CBX5,2903629
FMO2,2737
SUCO,4290536
MSH2,2410305
MAP3K1,6649688
DHPS,860918
HOOK2,1316227
NXPE1,6144
ARCN1,3090196
EPB41L4B,16925
TMEM38B,1356510
PSMD5,2089291
PTGS1,569604
NUP188,1919552
CRAT,297645
SH2D3C,2470828
NANS,1204697
TBC1D2,1649421
WHRN,981667
PDE6C,18004
CWF19L1,2207067
SEMA4G,27999
BTAF1,5079530
IKZF5,1907762
BLNK,2475324
TLL2,28328
CYP26A1,247
TDRD1,14364
SORBS1,362122
CRTAC1,32672
BAMBI,3678
IL11,2722
MYO3A,53873
WAC,7561338
CREM,3056417
NUBP2,262950
TPSD1,572
SMIM24,3571
HIVEP1,5508320
TREM2,106265
CRISP3,672
FKBP5,6556628
SRPK1,2839042
BRPF3,970832
MRPS18A,665377
PGC,4221
TMEM14A,217773
EFHC1,3865415
NCR2,17812
HSP90AB1,5581040
MLN,737
CDC5L,2813777
ITPR3,1968600
ZNF184,665628
DSP,86759
SIRT1,2561281
HNRNPH3,3981403
IFT74,1514145
JAK2,6644208
IL12RB1,1292406
ABL1,3859778
ACOT7,384943
SH3GLB1,4038974
CDC7,646767
SYDE2,384305
PCSK5,2502030
SCD,291015
TMED1,204566
ABLIM1,5790560
ERMP1,2137509
RAB18,3232617
NRP1,1874782
HSD17B7P2,478539
PRTFDC1,139546
PALMD,5577
TSPAN15,180873
MACROH2A2,602960
WASHC2A,1955036
MAST3,2297711
MZF1,1385417
OCEL1,156822
MYO9B,6611535
KCNK6,1136784
CATSPERG,1935229
PSMD8,1351638
FBXL19,642698
STX1B,80777
HSD3B7,154227
SETD1A,1399430
BCL7C,1182992
MAGEB2,266
EFNA2,1076
CIRBP,2709488
ATP5F1D,588412
CBARP,1560
PCDH11Y,36826
AMELY,3030
PRKY,3377264
IGFALS,3443
HNRNPM,5375722
MARCHF2,940075
NDUFB7,539889
TECR,1209706
TIMM13,336942
CDC34,313667
MTAP,3613285
MISP,5863
CEP170B,59458
POLR2E,1318749
POLRMT,593487
HCN2,43640
CDHR5,11847
IZUMO4,47889
RASSF7,224826
GADD45B,1040632
PALM,42386
MADCAM1,53607
IGF2-AS,202
MKNK2,1435626
ARVCF,79191
TRMT2A,441105
RANBP1,694815
ZDHHC8,338536
KLHL22,2923124
MED15,4998140
SERPIND1,38777
SNAP29,1552887
CRKL,1844046
LZTR1,815464
MMP11,23964
CECR2,216575
SMARCB1,2094932
P2RX6,10354
DERL3,32580
SLC7A4,441
BCL2L13,2828774
DDTL,208275
DDT,381173
GSTT2,1703
OSM,125850
CABIN1,3709562
TBC1D10A,1557241
SUSD2,20477
SF3A1,2715065
GGT5,325345
RNF215,1191548
SEC14L2,229909
SEC14L3,8382
SPECC1L,5230399
PPIL2,2392477
UPB1,138485
YPEL1,1146721
SNRPD3,2174224
PES1,818189
MAPK1,5936831
GGT1,198853
PRODH,875
PPM1F,1216928
SLC35E4,316453
TOP3B,971185
CRYBB3,33263
CYTH4,3897811
ESS2,429045
CRYBB2P1,152878
MFNG,1350594
CARD10,5885
LRP5L,1209770
SLC25A1,286205
GRK3,4110190
LGALS2,611398
GGA1,1956865
HIRA,5261917
SH3BP1,2068892
SEZ6L,102888
LGALS1,717861
HPS4,1565357
PIK3IP1,3410718
ENSG00000100101,1058480
SRRD,391686
PATZ1,878115
TRIOBP,1549297
TFIP11,1138569
GCAT,54215
GGTLC2,4953
CRYBB1,5983
ANKRD54,383222
EIF3L,3062543
SNU13,1738638
MICALL1,1252738
POLR2F,1160683
SOX10,26541
CCDC134,1528640
DEPDC5,2757707
PICK1,364657
TTC28,802724
SLC16A8,1842
CENPM,66378
SEPTIN3,20824
SLC5A1,6455
TPTEP1,9279
SLC5A4,9262
KDELR3,26870
CYP2D6,20591
DDX17,9015824
DMC1,55295
TCF20,4971374
HSCB,948400
CBY1,689402
TOMM22,569864
RSPH14,20550
XBP1,1837628
RTCB,2866839
JOSD1,1745390
FBXO7,2855466
GTPBP1,3479904
POLDIP3,1964946
RAB36,15880
TIMP3,22718
PPP6R2,5475739
SBF1,2082584
SUN2,5396104
CYB5R3,1638675
DNAL4,83358
C22orf31,1187
MIOX,1458
LMF2,469318
RHBDD3,421100
PACSIN2,5172991
TTLL1,413355
RASL10A,34969
AP1B1,2783993
HMGXB4,1690687
TOM1,1964313
NEFH,64886
CHKB,2385435
BIK,59019
HMOX1,688007
MCAT,131383
THOC5,1503087
MCM5,984528
APOBEC3H,109306
ARSA,499422
TSPO,941684
RASD2,1727
TTLL12,476528
CBX7,1417327
PDGFB,341564
ACR,2402
CABP7,3390
RPL3,4379396
ZMAT5,614025
RBFOX2,744604
SYNGR1,152409
TAB1,1443281
ASCC2,2646846
MTMR3,5519528
MIEF1,1181922
APOL4,544134
PNPLA5,527
APOL1,2617813
PNPLA3,190191
MYH9,8127852
CACNA1I,431098
SAMM50,1312956
TXN2,816905
FOXRED2,197578
GRAP2,5839661
EIF3D,3010296
TNRC6B,10124708
SGSM3,1398533
IFT27,573668
PVALB,2247
KIAA0930,1828746
NCF4,1298595
CSF2RB,2047350
SLC25A17,1640936
UPK3A,19081
FAM118A,2590777
KCTD17,339669
ST13,2413490
IL2RB,1776805
RBX1,2415317
EP300,6348819
L3MBTL2,873096
CHADL,72064
RANGAP1,2127913
ZC3H7B,2706262
PHF5A,572390
ACO2,2734462
POLR3H,580132
TRMU,1251098
PMM1,235383
DESI1,1330619
CERK,3636871
BRD1,3155705
ZBED4,1933554
MLC1,60131
HDAC10,543335
KCNK10,37197
ABHD4,425134
KHNYN,2200065
FKBP3,1320929
SDR39U1,626425
CTSG,269
GZMH,243097
GZMB,594113
RBM23,2543041
PRMT5,446681
COCH,117921
AP4S1,1816159
POLE2,228499
VCPKMT,651950
SOS2,4833695
CDKL1,1370323
NIN,6701430
PYGL,730270
TRIM9,96657
PSMC6,1730378
GNPNAT1,516821
DDHD1,5833113
CDKN3,43572
CNIH1,980799
CGRRF1,610319
ATP6V1D,1753984
CCDC198,5253
PLEK2,44543
PIGH,590012
LRRC74A,16603
PSMA3,2945945
VTI1B,2368943
TIMM9,588632
GSTZ1,230677
KIAA0586,3546014
TMED8,1708897
SAMD15,28591
AHSA1,1168947
DAAM1,1928303
ISM2,13255
SPTLC2,4975795
RIN3,4695622
LGMN,1194874
ALKBH1,1842692
SNW1,3143891
CHGA,3115
ITPK1,3366808
DHRS7,1595676
PPM1A,3296550
SIX4,3318
GALNT16,12949
ASB2,59441
CEP128,2789215
ERH,1343305
HIF1A,6628164
SUSD6,5892185
SRSF5,4093300
SLC10A1,44799
EIF5,3206317
SERPINA4,632
SLC8A3,41811
DICER1,5283995
ZFYVE21,314152
MTHFD1,1108819
TCL1A,234679
ZC3H14,2366627
TELO2,377904
PCNX1,8857631
BDKRB1,536
GSKIP,750920
VRK1,2486215
PSMC1,1450027
PAPLN,365599
RPS6KA5,6537736
PPP4R3A,5329443
C14orf93,749071
PSMB5,882155
YY1,4879081
ACIN1,5689133
CCNB1IP1,491090
TRIP11,4220921
APEX1,965534
PABPN1,3189204
EFS,1223
ARHGAP5,4055643
CINP,657141
DHRS2,1227
SRP54,2986076
CPNE6,1569
CHD8,5221602
PCK2,950065
PRORP,3405159
DCAF11,1831237
PSMA6,2810144
NFKBIA,2662963
EMC9,131836
PSME2,3202450
BRMS1L,667859
REC8,558664
TM9SF1,488925
SEC23A,3055265
GMPR2,718304
PNN,4337311
RABGGTA,380362
NFATC4,4229
PLTP,40311
PCIF1,919783
GSS,564626
MMP9,1316869
VSX1,440
TRPC4AP,5921809
PYGB,1624680
ABHD12,3495041
PROCR,329903
GINS1,189057
NINL,304256
CD40,1748497
UQCC1,3009979
ZMYND8,5337853
SGK2,80057
IFT52,816425
MYBL2,54463
R3HDML,2225
HNF4A,9710
NDRG3,1422113
SLA2,2338424
RAB5IF,1191211
NFATC2,5309338
RIMS4,5964
PABPC1L,748474
STK4,9004874
SALL4,13091
ADNP,4867387
PFDN4,649705
DOK5,31501
CSTF1,721857
BMP7,11805
RAE1,1081602
TPD52L2,1551890
DNAJC5,4144843
NELFCD,1262279
CTSZ,3104555
PRPF6,2955999
TUBB1,25915
PRELID3B,914849
MTG2,1236445
PSMA7,2584521
SLCO4A1,181385
NTSR1,32904
MRGBP,265021
TCFL5,422739
DIDO1,5515276
GID8,1186153
SLC17A9,197807
BIRC7,1311
NKAIN4,22148
ARFGAP1,999697
AVP,2285
COL20A1,3649
CHRNA4,434
EEF1A2,3760
PTK6,59136
GMEB2,1043497
C20orf27,210685
SPEF1,1580
CDC25B,1932100
ISM1,192122
RNF24,3620075
ARFRP1,748695
NDUFAF5,1072253
SEL1L2,22669
TRIB3,155056
RASSF2,2616848
CSNK2A1,3608158
SLC52A3,1100
RPS10P5,342
ANGPT4,4578
RSPO4,79163
CDS2,2968418
PROKR2,1259
HM13,4869017
SNPH,1045189
MYLK2,810
SIRPB1,1148796
SEC23B,2169728
FERMT1,12936
HAO1,5852
PDYN,409
CCM2L,28032
PLCB4,89942
MYL9,14400
HCK,2937683
TM9SF4,3134448
TLDC2,419229
CRNKL1,1518851
POFUT1,855994
SAMHD1,7634383
PAK5,47829
KIF3B,1437231
MROH8,243995
NOP56,1998735
MANBAL,1114049
IDH3B,818714
MAPRE1,2352985
JAG1,286344
CDK5RAP1,1811502
SNTA1,203184
OXT,2834
TTI1,2070344
E2F1,64034
RPRD1B,2844118
PXMP4,402894
CHMP4B,2996463
BPI,11782
SLC32A1,785
CST3,1737245
ASIP,43500
ACTR5,717777
WFDC2,6771
AHCY,521633
PPP1R16B,5652094
FAM83D,116150
DHX35,1542259
DNTTIP1,939007
MAP1LC3A,65413
SYNDIG1,15159
PIGU,1990540
TNNC2,19422
ACOT8,872057
APMAP,1949191
CELF4,19163
ZNF516,3648861
CDH20,31651
ADNP2,1164740
RBFA,470037
USP14,2840047
VAPA,3923815
METTL4,2028413
LPIN2,6115848
SMCHD1,10316653
MYOM1,435498
MYL12A,4975000
CEP76,545431
ST8SIA5,28719
CEP192,5240510
RNMT,2399770
SMAD7,1607389
LIPG,18475
LAMA1,37388
RNF125,3201921
ANKRD12,10235464
NOL4,23991
POLI,1450102
MIB1,3855277
RBBP8,819346
RIOK3,2968837
CSTF2,554586
MXRA5,2385
VSIG1,633773
PSMD10,420010
ATG4A,617865
STS,920329
TBL1X,7420162
GPR143,9295
PGRMC1,378271
POLA1,2464862
MID1,147521
NKAP,1200797
RHOXF1,2017887
NXT2,235657
GUCY2F,10743
ATP1B4,716
ALG13,4571747
PRPS2,1223789
TLR8,1142555
MOSPD1,281448
AMMECR1,3379202
CHRDL1,10228
WDR13,489012
SUV39H1,159154
SRPX,9538
GLRA2,19603
XIAP,4469705
STAG2,8033652
ATP11C,4343422
MCF2,454534
F9,1657
ABCD1,696333
CCDC22,494350
CACNA1F,63933
SYP,104886
PLP2,896642
BMX,12900
LUZP4,493
PLS3,36905
NAA10,383169
RENBP,1058906
ELF4,2840294
SMARCA1,64616
MTMR8,1893889
ASB9,12709
ZC3H12B,4314382
RBBP7,1953902
PPP1R2C,607
KCND1,31509
OPN1LW,2255
SLC25A14,362417
FMR1,3966287
PIM2,2243750
SCML2,292555
SLC35A2,285756
PQBP1,653680
RS1,7383
PCSK1N,24673
EMD,516615
TAFAZZIN,807028
RAB40AL,2945
PGK1,4947532
GATA1,8267
MAGT1,2814007
SMS,1313938
PHEX,169906
UBL4A,279978
CD99L2,1822842
EEA1,4345794
RP2,1859976
JADE3,660677
CDK16,775948
USP11,1652677
PCYT1B,39636
BRS3,220
HTATSF1,1388664
VGLL1,1169
CD40LG,613832
TIMP1,1513938
KLHL4,670634
GABRE,3297
PCDH11X,59424
FGD1,30809
PIN4,1705629
PORCN,128098
ITIH6,9273
MAGED2,983094
RBM3,2563624
KLF8,296130
SRPX2,2185
SYTL4,27109
ZDHHC15,99514
CENPI,189677
DRP2,7680
TAF7L,9195
PBDC1,766602
GLA,529385
ARMCX3,1022979
BEX4,454315
RUBCNL,1302168
NALCN,29377
FGF14,152701
HTR2A,2963
NDFIP2,318681
TNFSF13B,3719201
FNDC3A,7808673
CDADC1,996042
CAB39L,1228276
KLF5,273941
STK24,6065778
ACP5,1252039
DNAJC3,3971092
UGGT2,1274744
ARHGEF7,4328777
FGF9,161214
SGCG,39350
PARP4,6894480
SUPT20H,3396671
MRPS31,2616946
SLC25A15,339225
KPNA3,3393062
FLT1,321353
RGCC,964626
VWA8,4662834
DGKH,3030262
KATNAL1,824594
INTS6,4231416
ACOD1,453823
DHRS12,1099480
MEDAG,12301
TSC22D1,4062410
CLN5,976666
OLFM4,978
MSLN,1312
MGRN1,2978261
ZNF629,394062
TRADD,1609924
HSF4,65039
CORO1A,2043300
MAPK3,487983
GDPD3,124586
ELMO3,106374
MT4,53492
PHKB,5855492
LYRM1,1394991
NUTF2,829399
NUP93,2647153
CENPT,748158
TSNAXIP1,33701
NFAT5,6267752
LONP2,4846201
N4BP1,7796487
ARL2BP,923811
PLLP,109199
ZNF423,35270
CCL22,266731
DHODH,259562
CCL17,38451
CTCF,4623241
ACD,195504
POLR2C,705948
PARD6A,31558
ZNF821,481757
MMP15,9341
USB1,921931
CYB5B,1988489
CCDC113,42627
PRSS54,2934
NME3,151669
NDRG4,15937
PSMD7,2010461
SETD6,475542
SLC38A7,1033111
VAC14,3686570
HAS3,42370
TANGO6,4245400
COG4,1890646
SMPD3,393761
SLC7A6OS,2161410
SLC7A6,3272297
PLA2G15,384491
ESRP2,11692
FA2H,59901
WDR59,2972280
MON1B,1628397
CMC2,2228209
AXIN1,2225089
HCFC1R1,176472
NPRL3,1549148
MLYCD,1831616
MPG,502699
NECAB2,5538
HSDL1,691916
TAF1C,643020
NAGPA,515317
WFDC1,5279
SEC14L5,6644
COTL1,4129112
USP10,4668962
CRISPLD2,239248
TSC2,1547585
ZNF500,670733
ENSG00000103200,327
NME4,171355
ABCC1,5915280
NOMO3,264819
LMF1,3418635
FOXF1,403
CIAO3,531483
MTHFSD,853562
CLCN7,2079442
HAGHL,73829
ANTKMT,140350
SLC7A5,602093
METRN,32058
FBXO31,1434277
STUB1,654172
RHBDL1,6553
NUBP1,1627150
UBE2I,2591037
ZP2,1543
MEFV,1044292
CRYM,113885
EEF2K,1674373
CAPN15,973835
PIEZO1,1712809
GSPT1,3865445
ZNF174,263545
CLUAP1,1479692
UBFD1,1047432
PRSS33,585
EARS2,843318
ELOB,611758
GGA2,3736433
AQP8,5813
CPPED1,2597441
USP31,1089547
HMOX2,2133399
DNAJA3,1442541
CORO7-PAM16,1185
BFAR,1953712
SALL1,412
TOX3,10082
RRN3P2,1041791
RBL2,6496103
QPRT,1498060
XYLT1,5797260
PYCARD,395690
RPGRIP1L,355029
MAZ,959051
STX4,1579834
CDIPT,601153
BCKDK,405387
KAT8,1414317
NOMO1,821005
IL21R,2371765
SYT17,569192
TMC5,34252
CCP110,1012690
VPS35L,3490242
SLC6A2,2478
RNF40,1532981
KNOP1,840796
AQP9,807145
AAGAB,2563897
IQCH,335097
LACTB,2586184
CORO2B,205608
CSK,3353095
HERC1,8477667
TRIP4,2878765
MTFMT,1099501
RASL12,8912
AP3B2,73395
ACSBG1,32971
IGDCC4,10865
RAB11A,2187548
CTSH,2718824
GOLGA8UP,9824
TTC23,262491
CD276,154451
FAH,199397
CEMIP,666595
RPAP1,943177
HOMER2,656724
EHD4,3730575
TMEM87A,4812080
ZNF106,4051185
CEP152,1775777
ATP8B4,2702210
OCA2,37892
DTWD1,1262552
TGM5,5343
ENTREP2,90474
GABPB1,2896195
TJP1,83861
BMF,691023
DMXL2,3232219
SCG3,35938
DNAJC17,1467465
EIF3J,2766361
SPG11,6571210
RHOV,5048
VPS18,537122
OIP5,119349
SLC30A4,599225
BLOC1S6,2060476
MYEF2,544800
SGK3,3989664
PDGFRL,255918
CSPP1,2561136
ZDHHC2,2598138
BRF2,243344
TRIM35,1009739
ZFAND1,777173
RP1,24058
CA2,297775
FZD3,344970
INTS9,2607702
RIPK2,2126215
EYA1,27282
NBN,3754893
TRPA1,15452
CPQ,5487164
DECR1,4874180
CALB1,7315
BPNT2,1635063
SFRP1,2797
LAPTM4B,267922
UBE2W,4807300
POP1,559132
NIPAL2,759589
IKBKB,4630707
PLAT,41298
JPH1,8320
DKK4,624
STK3,4244848
GDAP1,1741903
RAB2A,6482353
EIF3E,3974708
EMC2,2386335
ESRP1,7672
CCN4,1843
NDRG1,1907173
ZC2HC1A,803675
IL7,970558
STMN2,4803
ARMC1,1369231
TRPS1,5542844
SPAG1,613994
CHRAC1,554046
NCALD,2498937
SNX16,877244
GML,126674
UBR5,7190581
GSDMD,1397553
GFUS,325131
PYCR3,135832
EEF1D,4319287
ANXA13,4061
SQLE,771060
SH2D4A,39050
INTS10,2856514
ERI1,1606733
SLC39A14,340688
MTMR9,2352829
LEPROTL1,5388309
DCTN6,680632
R3HCC1,413389
GSR,1454049
TNFRSF10A,2240209
UBXN8,161406
PPP2CB,1670467
ERICH1,5210002
NEFM,8328
TUSC3,26696
ARHGEF10,459962
KLHDC4,2649488
MCM4,304429
ADAM2,9888
KCTD9,1742258
FGL1,7271
ASAH1,2900450
BNIP3L,3201860
MAN2B1,2519650
KCNN4,648060
TULP2,14535
NUCB1,2718023
DHDH,20698
GYS1,1777235
MAP4K1,1618679
ECH1,900685
HNRNPL,3338743
NFKBIB,860284
LHB,1256
TUBB4A,37414
SARS2,261481
KCNA7,1049
SNRNP70,4507659
CLPTM1,1762030
RELB,2403482
CLASRP,2830588
LIN7B,140154
PPP1R37,279687
FCGRT,1149857
PIH1D1,807399
CKM,10335
ARHGEF18,6686738
PPP1R13L,259213
PEX11G,34798
ERCC2,334385
DOT1L,1972542
PLEKHJ1,437877
SLC17A7,2819
RNASEH2A,147981
KLC3,7129
CD37,2565130
SF3A2,995631
AMH,9635
DKKL1,2903
LYL1,408801
OAZ1,3025083
TRMT1,612574
STX10,377857
RETN,7225
FCER2,204774
DMPK,258555
CLEC4M,1068
RSPH6A,30046
TBC1D17,1277452
IL4I1,2912642
TLE6,8768
YJU2B,1163911
PTOV1,691216
TLE5,3582407
NOVA2,4620
SGTA,920927
KIR3DX1,40147
LILRB1,3023413
MED25,1733217
LILRA1,452141
SNAPC2,142590
C19orf53,634572
TIMM44,780822
CCDC61,402130
IL27RA,1808643
ASF1B,89980
TNNT1,86879
VRK3,2243488
FAM32A,1248732
PPP6R1,3415266
C19orf44,159900
MED26,1693136
OLFM2,87663
